"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"62366099999","1999-01-01","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  59.1","21","  51.6","21","1023.9"," 8","999.9"," 0","  4.6","19","  5.5","21"," 12.0","999.9","  68.0"," ","  49.3"," "," 0.00","I","999.9","000000"
"62366099999","1999-01-02","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  60.5","20","  53.6","20","1023.0"," 6","999.9"," 0","  4.9","20","  7.9","20","999.9","999.9","  69.8","*","  51.4"," "," 0.00","I","999.9","100000"
"62366099999","1999-01-03","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  59.1","20","  49.6","20","1017.0"," 8","999.9"," 0","  3.5","20","  2.9","20","  7.0","999.9","  66.6"," ","  50.9"," "," 0.00","I","999.9","000000"
"62366099999","1999-01-04","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  58.6","22","  47.9","21","1013.5"," 6","999.9"," 0","  3.8","22","  3.1","22","  7.0","999.9","  66.7","*","  31.3"," "," 0.00","I","999.9","000000"
"62366099999","1999-01-05","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  58.0","20","  42.8","20","1013.6"," 4","999.9"," 0","  6.3","19","  4.8","20","  8.0","999.9","  66.9"," ","  32.5"," "," 0.00","I","999.9","000000"
"62366099999","1999-01-06","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  58.0","20","  41.9","20","1013.9"," 8","999.9"," 0","  6.3","19","  5.0","20","  8.9","999.9","  65.5"," ","  33.1"," "," 0.00","I","999.9","000000"
"62366099999","1999-01-07","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  57.1","18","  43.5","18","1012.9"," 8","999.9"," 0","  5.9","18","  4.0","18","  8.9","999.9","  64.9"," ","  31.6"," "," 0.00","I","999.9","000000"
"62366099999","1999-01-08","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  57.5","23","  46.4","22","1011.7"," 5","999.9"," 0","  6.1","22","  4.7","23","  9.9","999.9","  62.6","*","  50.7"," "," 0.00","I","999.9","000000"
"62366099999","1999-01-09","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  57.9","18","  45.4","18","1017.6"," 7","999.9"," 0","  4.4","18","  7.5","18"," 13.0","999.9","  67.3"," ","  31.1"," "," 0.00","I","999.9","000000"
"62366099999","1999-01-11","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  58.6","19","  45.0","19","1024.5"," 8","999.9"," 0","  6.1","19","  7.7","19"," 11.1","999.9","  68.7"," ","  44.6"," "," 0.00","I","999.9","000000"
"62366099999","1999-01-12","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  57.7","20","  49.0","20","1022.5"," 6","999.9"," 0","  4.9","19","  4.1","20"," 11.1","999.9","  70.9"," ","  48.2","*"," 0.00","I","999.9","000000"
"62366099999","1999-01-13","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  57.3","20","  51.5","20","1019.6"," 7","999.9"," 0","  3.8","20","  4.1","20","  9.9","999.9","  68.0","*","  50.7"," "," 0.00","I","999.9","100000"
"62366099999","1999-01-14","30.121944","31.405556","116.43","CAIRO INTERNATIONAL, EG","  57.7","21","  50.7","21","1017.0"," 8","999.9"," 0","  4.8","21","  3.3","21","  8.9","999.9","  66.0"," ","  43.3"," "," 0.00","I","999.9","100000"
