station,year,average_temperature
01023099999,1999,35.36
01023099999,2000,36.15
01023099999,2001,34.47
01023099999,2009,34.67
01023099999,2010,32.61
01023099999,2011,37.81
01023099999,2019,33.14
01023099999,2020,36.74
01023099999,2021,34.21
06604099999,1999,50.62
06604099999,2000,51.73
06604099999,2001,50.88
06604099999,2009,51.74
06604099999,2010,49.67
06604099999,2011,52.34
06604099999,2019,52.34
06604099999,2020,53.1
06604099999,2021,50.85
08001099999,1999,58.38
08001099999,2000,58.04
08001099999,2001,58.07
08001099999,2009,58.34
08001099999,2010,57.94
08001099999,2011,59.25
08001099999,2019,58.71
08001099999,2020,59.67
08001099999,2021,58.82
12105099999,1999,48.83
12105099999,2000,49.5
12105099999,2001,47.47
12105099999,2009,47.47
12105099999,2010,45.03
12105099999,2011,48.28
12105099999,2019,50.47
12105099999,2020,50.42
12105099999,2021,47.4
16614099999,1999,55.2
16614099999,2000,54.42
16614099999,2001,56.85
16614099999,2009,57.03
16614099999,2010,57.43
16614099999,2011,55.07
16614099999,2019,55.24
16614099999,2020,55.08
16614099999,2021,55.57
20292099999,1999,4.55
20292099999,2000,7.75
20292099999,2001,7.54
20292099999,2009,9.13
20292099999,2010,10.55
20292099999,2011,13.44
20292099999,2019,11.24
20292099999,2020,16.07
20292099999,2021,10.45
40703099999,1999,56.3
40703099999,2000,55.84
40703099999,2001,56.48
40703099999,2009,55.09
40703099999,2010,58.52
40703099999,2011,54.25
40703099999,2019,57.13
40703099999,2020,56.37
40703099999,2021,58.84
41515099999,1999,70.73
41515099999,2000,68.95
41515099999,2001,65.94
41515099999,2009,62.62
41515099999,2010,63.46
41515099999,2011,64.59
41515099999,2019,61.45
41515099999,2020,60.92
41515099999,2021,64.32
42027099999,1999,59.23
42027099999,2000,57.94
42027099999,2001,56.83
42027099999,2009,56.17
42027099999,2010,56.46
42027099999,2011,56.52
42027099999,2019,55.98
42027099999,2020,56.86
42027099999,2021,56.32
47412099999,1999,49.06
47412099999,2000,48.28
47412099999,2001,47.14
47412099999,2009,49.03
47412099999,2010,49.71
47412099999,2011,48.82
47412099999,2019,49.83
47412099999,2020,50.07
47412099999,2021,50.57
54511099999,1999,55.48
54511099999,2000,54.75
54511099999,2001,54.9
54511099999,2009,54.71
54511099999,2010,53.15
54511099999,2011,54.77
54511099999,2019,56.56
54511099999,2020,55.65
54511099999,2021,55.76
62366099999,1999,72.28
62366099999,2000,71.25
62366099999,2001,72.73
62366099999,2009,74.09
62366099999,2010,75.53
62366099999,2011,71.86
62366099999,2019,73.86
62366099999,2020,72.91
62366099999,2021,74.36
63714099999,1999,66.53
63714099999,2000,66.74
63714099999,2001,64.79
63714099999,2009,67.9
63714099999,2010,64.96
63714099999,2011,65.26
63714099999,2019,66.47
63714099999,2020,65.73
63714099999,2021,66.04
67009099999,1999,79.48
67009099999,2000,79.7
67009099999,2001,80.29
67009099999,2009,80.62
67009099999,2010,80.41
67009099999,2011,80.14
67009099999,2019,81.35
67009099999,2020,80.85
67009099999,2021,80.99
68155099999,1999,70.54
68155099999,2000,68.75
68155099999,2001,68.33
68155099999,2009,69.45
68155099999,2010,73.16
68155099999,2011,71.09
68155099999,2019,73.0
68155099999,2020,71.2
68155099999,2021,70.49
70026027502,1999,10.73
70026027502,2000,10.97
70026027502,2001,10.83
70026027502,2009,13.85
70026027502,2010,14.64
70026027502,2011,14.5
70026027502,2019,21.15
70026027502,2020,15.0
70026027502,2021,14.34
71265099999,1999,49.07
71265099999,2000,46.96
71265099999,2001,48.88
71265099999,2009,47.16
71265099999,2010,49.4
71265099999,2011,48.82
71265099999,2019,47.14
71265099999,2020,49.7
71265099999,2021,50.51
71392099999,1999,40.92
71392099999,2000,40.16
71392099999,2001,42.79
71392099999,2009,40.96
71392099999,2010,44.86
71392099999,2011,42.95
71392099999,2019,40.72
71392099999,2020,43.39
71392099999,2021,44.98
71395099999,1999,46.93
71395099999,2000,44.71
71395099999,2001,45.3
71395099999,2009,43.84
71395099999,2010,46.47
71395099999,2011,45.18
71395099999,2019,44.04
71395099999,2020,46.05
71395099999,2021,46.75
71700099999,1999,45.67
71700099999,2000,42.65
71700099999,2001,44.17
71700099999,2009,42.71
71700099999,2010,46.04
71700099999,2011,43.98
71700099999,2019,42.03
71700099999,2020,44.7
71700099999,2021,45.3
71706099999,1999,45.49
71706099999,2000,42.95
71706099999,2001,43.96
71706099999,2009,43.08
71706099999,2010,45.92
71706099999,2011,44.39
71706099999,2019,42.46
71706099999,2020,45.34
71706099999,2021,45.62
71852099999,1999,40.58
71852099999,2000,37.79
71852099999,2001,39.59
71852099999,2009,36.57
71852099999,2010,40.17
71852099999,2011,39.46
71852099999,2019,36.47
71852099999,2020,39.21
71852099999,2021,41.28
71866099999,1999,38.57
71866099999,2000,36.09
71866099999,2001,39.3
71866099999,2009,34.47
71866099999,2010,37.72
71866099999,2011,37.67
71866099999,2019,34.92
71866099999,2020,36.4
71866099999,2021,38.38
71877099999,1999,41.47
71877099999,2000,38.79
71877099999,2001,41.39
71877099999,2009,39.35
71877099999,2010,40.13
71877099999,2011,39.95
71877099999,2019,39.08
71877099999,2020,41.33
71877099999,2021,41.94
71892099999,1999,50.58
71892099999,2000,50.34
71892099999,2001,50.49
71892099999,2009,50.54
71892099999,2010,51.67
71892099999,2011,49.84
71892099999,2019,50.99
71892099999,2020,51.28
71892099999,2021,51.31
72202012839,1999,76.17
72202012839,2000,76.23
72202012839,2001,76.21
72202012839,2009,77.28
72202012839,2010,75.29
72202012839,2011,77.64
72202012839,2019,78.54
72202012839,2020,78.83
72202012839,2021,77.88
72297793184,1999,61.87
72297793184,2009,63.66
72297793184,2010,63.73
72297793184,2011,62.52
72297793184,2019,64.49
72297793184,2020,66.46
72297793184,2021,65.04
72386023169,1999,68.88
72386023169,2000,70.03
72386023169,2001,70.07
72386023169,2009,70.16
72386023169,2010,69.72
72386023169,2011,68.94
72386023169,2019,69.67
72386023169,2020,71.63
72386023169,2021,71.64
72446003947,1999,55.68
72446003947,2000,54.77
72446003947,2001,55.58
72446003947,2009,53.84
72446003947,2010,55.27
72446003947,2011,54.95
72446003947,2019,54.03
72446003947,2020,55.75
72446003947,2021,57.16
74486094789,1999,55.11
74486094789,2000,52.82
74486094789,2001,54.91
74486094789,2009,53.74
74486094789,2010,55.84
74486094789,2011,55.67
74486094789,2019,54.65
74486094789,2020,56.06
74486094789,2021,56.03
76001399999,1999,61.49
76001399999,2000,63.27
76001399999,2001,61.94
76001399999,2009,63.04
76001399999,2010,61.27
76001399999,2011,60.81
76001399999,2019,62.13
76001399999,2020,65.17
76001399999,2021,62.68
80022099999,1999,81.34
80022099999,2000,81.44
80022099999,2001,81.86
80022099999,2009,82.79
80022099999,2010,82.79
80022099999,2011,82.4
80022099999,2019,82.99
80022099999,2020,84.11
80022099999,2021,82.67
83827099999,1999,68.36
83827099999,2000,70.24
83827099999,2001,72.5
83827099999,2009,68.2
83827099999,2010,68.43
83827099999,2011,70.47
83827099999,2019,72.33
83827099999,2020,72.29
83827099999,2021,71.59
84117099999,1999,73.87
84117099999,2000,73.68
84117099999,2001,75.37
84117099999,2009,76.7
84117099999,2010,77.1
84117099999,2011,77.18
84117099999,2019,77.05
84117099999,2020,77.42
84117099999,2021,76.71
88963099999,1999,26.43
88963099999,2000,25.46
88963099999,2001,25.08
88963099999,2009,21.67
88963099999,2010,25.19
88963099999,2011,22.06
88963099999,2019,23.84
88963099999,2020,24.54
88963099999,2021,27.25
91182022521,1999,76.12
91182022521,2000,76.82
91182022521,2001,77.42
91182022521,2009,77.33
91182022521,2010,76.75
91182022521,2011,77.62
91182022521,2019,78.83
91182022521,2020,78.24
91182022521,2021,77.52
93292099999,1999,58.22
93292099999,2000,57.84
93292099999,2001,57.67
93292099999,2009,57.51
93292099999,2010,58.13
93292099999,2011,58.05
93292099999,2019,58.87
93292099999,2020,58.85
93292099999,2021,58.85
94762099999,1999,61.53
94762099999,2000,61.62
94762099999,2001,62.06
94762099999,2009,64.08
94762099999,2010,62.26
94762099999,2011,61.75
94762099999,2019,66.24
94762099999,2020,63.25
94762099999,2021,60.94
98132099999,1999,78.48
98132099999,2000,78.25
98132099999,2001,77.29
98132099999,2009,77.75
98132099999,2010,78.21
98132099999,2011,77.17
98132099999,2019,78.0
98132099999,2020,78.74
98132099999,2021,78.36
